id,emoji,type,value,shopcost,drop,shop,filtertype,infotext,en,zh-Hans,es,fr,de,pt-BR,ko,ru
SCROLL,📜,item,1,1534,0.0025,1,town_magic,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
INKPEN,🖋️,item,1,1638,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
RING,💍,item,1,2010,0.0025,1,town_kingdom,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
WATCH,⌚,item,1,2130,0.0025,1,town_kingdom,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
SKULL,💀,item,1,2250,0.0025,1,town_magic,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
WATERDROP,💧,item,1,2702,0.0025,1,town_kingdom,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
DropCOIN,💰,coin,30,0,1,1,drop,コインを30枚獲得する,Earn 30 coins,赚取 30 个硬币,Gana 30 monedas,Gagnez 30 pièces,Verdiene 30 Münzen,Ganhe 30 moedas,동전 30장 획득,Заработайте 30 монет
VolcanoBird,🐦,item,1,1200,0,1,drop,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Sled,🛷,item,1,1200,0,1,drop,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Camel,🐫,item,1,1200,0,1,drop,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Eagle,🦅,item,1,1200,0,1,drop,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Owl,🦉,item,1,1200,0,1,drop,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
SHIP,⛵,item,1,1200,0,1,town_green_magicstatus,水の上を移動できるようになる,Be able to move on water,能够在水上移动,Poder moverse sobre el agua,Être capable de se déplacer sur l'eau,Sich auf dem Wasser fortbewegen können,Ser capaz de se mover na água,물 위로 이동할 수 있게 된다,Уметь передвигаться по воде
maxHP,❤️,maxHP,10,25,0.01,1,status,最大HPが10増加する,Increases maximum HP by 10,最大生命值增加 10,Aumenta el HP máximo en 10,Augmente les PV maximum de 10,Erhöht die maximalen HP um 10,Aumenta o HP máximo em 10,최대 HP 10 증가,Увеличивает максимальное здоровье на 10
maxMP,💠,maxMP,10,25,0.01,1,status,最大MPが10増加する,Increases maximum MP by 10,最大 MP 增加 10,Aumenta el MP máximo en 10,Augmente le maximum de PM de 10,Erhöht die maximalen MP um 10,Aumenta o MP máximo em 10,최대 MP가 10 증가,Увеличивает максимальный MP на 10
mpregene,🍷,mpregene,0.05,15,0.01,1,status,MP自動回復量が0.05増加する,Increases MP recovery by 0.05,MP恢复量增加0.05,"Aumenta la recuperación de MP en 0,05","Augmente la récupération de PM de 0,05","Erhöht die MP-Wiederherstellung um 0,05","Aumenta a recuperação de MP em 0,05",MP 자동 회복량이 0.05 증가,"Увеличивает восстановление MP на 0,05"
deffence,🛡️,deffence,0.01,20,0.01,1,status,防御力が0.01増加する,Defense power increases by 0.01,防御力增加0.01,"El poder de defensa aumenta en 0,01","La puissance de défense augmente de 0,01","Die Verteidigungskraft erhöht sich um 0,01","O poder de defesa aumenta em 0,01",방어력이 0.01 증가,"Сила защиты увеличивается на 0,01"
MaxSpeed,🌀,MaxSpeed,0.002,15,0.01,1,status,移動速度が0.01上昇する,Increases movement speed by 0.01,增加0.01的移动速度,"Aumenta la velocidad de movimiento en 0,01","Augmente la vitesse de déplacement de 0,01","Erhöht die Bewegungsgeschwindigkeit um 0,01","Aumenta a velocidade de movimento em 0,01",이동 속도가 0.01 상승,"Увеличивает скорость передвижения на 0,01"
attackPierceCount,🏹,attackPierceCount,1,350,0.01,1,magicstatus,魔法の貫通回数が1増える,Increases magic penetration by 1,魔法穿透增加1,Aumenta la penetración mágica en 1,Augmente la pénétration magique de 1,Erhöht die magische Durchdringung um 1,Aumenta a penetração mágica em 1,마법의 관통 횟수가 1 증가,Увеличивает проникновение магии на 1
HomingRadius,🎯,HomingRadius,50,350,0.01,1,magicstatus,ホーミング察知距離が50増える,Homing detection distance increases by 50,归巢探测距离增加 50,La distancia de detección del homing aumenta en un 50,La distance de détection de retour à la maison augmente de 50,Die Zielsucherkennungsdistanz erhöht sich um 50,A distância de detecção de homing aumenta em 50,호밍 감지 거리가 50 증가,Дальность обнаружения цели увеличивается на 50
HomingPower,🧲,HomingPower,0.1,350,0.01,1,magicstatus,ホーミング回転率を0.1あげる,Increase homing rotation rate by 0.1,增加归航旋转速度 0.1,"Aumentar la velocidad de rotación de retorno al origen en 0,1","Augmenter le taux de rotation du retour à la normale de 0,1","Erhöhen Sie die Homing-Rotationsrate um 0,1","Aumentar a taxa de rotação de retorno em 0,1",호밍 회전율을 0.1 올린다,"Увеличить скорость вращения самонаведения на 0,1"
AddLifeTime,📡,AddLifeTime,50,350,0.01,1,town_green_magicstatus,射程が50増加する,Range increased by 50,射程增加 50,Alcance aumentado en 50,Portée augmentée de 50,Reichweite um 50 erhöht,Alcance aumentado em 50,사거리가 50 증가,Дальность увеличена на 50
FireCnt,📒,FireCnt,1,1000,0.01,1,town_green_magicstatus,魔法の数が1増える,The magic number increases by 1,魔法数字增加 1,El número mágico aumenta en 1,Le nombre magique augmente de 1,Die magische Zahl erhöht sich um 1,O número mágico aumenta em 1,마법의 수가 1 증가,Магическое число увеличивается на 1
attack,🗡️,attack,1,20,0.01,1,status,攻撃力が1増加する,Attack power increases by 1,攻击力增加1,El poder de ataque aumenta en 1,La puissance d'attaque augmente de 1,Angriffskraft erhöht sich um 1,O poder de ataque aumenta em 1,공격력이 1 증가,Сила атаки увеличивается на 1
AddMaxSpeed,🚀,AddMaxSpeed,0.01,100,0.01,1,magicstatus,魔法の速度が0.01上昇する,Increases magic speed by 0.01,魔法速度增加0.01,"Aumenta la velocidad mágica en 0,01","Augmente la vitesse magique de 0,01","Erhöht die magische Geschwindigkeit um 0,01","Aumenta a velocidade mágica em 0,01",마법의 속도가 0.01 상승한다,"Увеличивает скорость магии на 0,01"
UseMP,🔋,UseMP,-15,100,0.01,1,magicstatus,魔法魔力が15減る,Magical power decreases by 15,魔法威力减少15,El poder mágico disminuye en 15,La puissance magique diminue de 15,Die magische Kraft verringert sich um 15,O poder mágico diminui em 15,마법 마력이 15 감소,Магическая сила уменьшается на 15
RegistFIREBALL,🔥,RegistFIREBALL,-0.05,100,0.01,1,town_green_magicstatus,魔法『FIREBALL』抵抗力が0.1あがる,"Magic ""FIREBALL"" resistance increases by 0.1",魔法“火球术”抗性增加0.1,"La resistencia mágica ""BOLA DE FUEGO"" aumenta en 0,1","La résistance magique « BALLE DE FEU » augmente de 0,1","Der Widerstand gegen magischen „FEUERBALL“ erhöht sich um 0,1","A resistência mágica ""BOLA DE FOGO"" aumenta em 0,1",마법『FIREBALL』 저항력이 0.1 올라간다,"Сопротивление магии «ОГНЕННЫЙ ШАР» увеличивается на 0,1"
RegistICE,❄️,RegistICE,-0.05,100,0.01,1,regist,魔法『ICE』抵抗力が0.1あがる,"Magic ""ICE"" resistance increases by 0.1",魔法“冰”抗性增加0.1,"La resistencia mágica ""ICE"" aumenta en 0,1","La résistance magique « ICE » augmente de 0,1","Der magische „ICE“-Widerstand erhöht sich um 0,1","A resistência mágica ""ICE"" aumenta em 0,1",마법『ICE』 저항력이 0.1 올라간다,"Сопротивление магии «ЛЕД» увеличивается на 0,1"
RegistLIGHTNING,⚡,RegistLIGHTNING,-0.05,100,0.01,1,regist,魔法『LIGHTNING』抵抗力が0.1あがる,"Magic ""LIGHTNING"" resistance increases by 0.1",魔法“雷”抗性增加0.1,"La resistencia mágica ""RELÁMPAGO"" aumenta en 0,1","La résistance magique « FOUDRE » augmente de 0,1","Der Widerstand gegen magischen „BLITZ“ erhöht sich um 0,1","A resistência mágica ""RELÂMPAGO"" aumenta em 0,1",마법『LIGHTNING』 저항력이 0.1 올라간다,"Сопротивление магии «МОЛНИЯ» увеличивается на 0,1"
RegistTORNADO,🌪️,RegistTORNADO,-0.05,100,0.01,1,regist,魔法『TORNADO』抵抗力が0.1あがる,"Magic ""TORNADO"" resistance increases by 0.1",魔法“TORNADO”抵抗力增加0.1,"La resistencia mágica ""TORNADO"" aumenta en 0,1","La résistance magique « TORNADO » augmente de 0,1","Der Widerstand gegen magischen „TORNADO“ erhöht sich um 0,1","A resistência mágica ""TORNADO"" aumenta em 0,1",마법『TORNADO』 저항력이 0.1 올라간다,"Сопротивление магии «ТОРНАДО» увеличивается на 0,1"
RegistMETEOR,☄️,RegistMETEOR,-0.05,100,0.01,1,regist,魔法『METEOR』抵抗力が0.1あがる,Magic 『METEOR』Resistance increases by 0.1,魔法『流星』抵抗力增加0.1,"La resistencia mágica 『METEOR』aumenta en 0,1","La résistance magique 『METEOR』 augmente de 0,1","Magie 『METEOR』: Widerstand erhöht sich um 0,1","A resistência mágica do 『METEOR』aumenta em 0,1",마법 『METEOR』 저항력이 0.1 올라간다,"Магия 『МЕТЕОР』Сопротивление увеличивается на 0,1"
RegistEXPLOSION,💥,RegistEXPLOSION,-0.05,100,0.01,1,regist,魔法『EXPLOSION』抵抗力が0.1あがる,Magic 『EXPLOSION』Resistance increases by 0.1,魔法『爆発』耐性增加0.1,"La resistencia mágica 『EXPLOSIÓN』aumenta en 0,1","La résistance magique 『EXPLOSION』 augmente de 0,1","Magie 『EXPLOSION』Der Widerstand erhöht sich um 0,1","A resistência mágica 『EXPLOSION』aumenta em 0,1",마법『EXPLOSION』 저항력이 0.1 올라간다,"Магия 『ВЗРЫВ』Сопротивление увеличивается на 0,1"
RegistGUST,💨,RegistGUST,-0.05,100,0.01,1,regist,魔法『GUST』抵抗力が0.1あがる,"Magic ""GUST"" resistance increases by 0.1",魔法“GUST”抵抗力增加0.1,"La resistencia mágica ""RÁFAGA"" aumenta en 0,1","La résistance magique « GUST » augmente de 0,1","Der Widerstand gegen magische „Böen“ erhöht sich um 0,1","A resistência mágica ""RAJADA"" aumenta em 0,1",마법『GUST』 저항력이 0.1 올라간다,"Сопротивление магии «GUST» увеличивается на 0,1"
RegistBUBBLE,🫧,RegistBUBBLE,-0.05,100,0.01,1,regist,魔法『BUBBLE』抵抗力が0.1あがる,Magic 『BUBBLE』Resistance increases by 0.1,魔法『BUBBLE』抵抗力增加0.1,"La resistencia mágica 『BURBUJA』aumenta en 0,1","La résistance de la 『BULLE』 magique augmente de 0,1","Magische „Blase“: Widerstand erhöht sich um 0,1","A resistência mágica da 『BOLHA』aumenta em 0,1",마법『BUBBLE』 저항력이 0.1 올라간다,"Магия 『BUBBLE』Сопротивление увеличивается на 0,1"
RegistRAINBOW,🌈,RegistRAINBOW,-0.05,100,0.01,1,regist,魔法『RAINBOW』抵抗力が0.1あがる,Magic 『RAINBOW』Resistance increases by 0.1,魔法『彩虹』抵抗力增加0.1,"La resistencia mágica 『ARCOÍRIS』aumenta en 0,1","La résistance magique 『ARC-EN-CIEL』 augmente de 0,1","Magie 『RAINBOW』 Widerstand erhöht sich um 0,1","A resistência mágica do 『ARCO-ÍRIS』aumenta em 0,1",마법 『RAINBOW』 저항력이 0.1 올라간다,"Магия 『RAINBOW』Сопротивление увеличивается на 0,1"
RegistWEB,🕸️,RegistWEB,-0.05,100,0.01,1,regist,魔法『WEB』抵抗力が0.1あがる,"Magic ""WEB"" resistance increases by 0.1",魔法“WEB”抵抗力增加0.1,"La resistencia mágica ""WEB"" aumenta en 0,1","La résistance magique « WEB » augmente de 0,1","Der Widerstand gegen magisches „WEB“ erhöht sich um 0,1","A resistência mágica ""TEIA"" aumenta em 0,1",마법『WEB』 저항력이 0.1 올라간다,"Сопротивление магии «ПАУТИНА» увеличивается на 0,1"
RegistPOISONSTING,🦂,RegistPOISONSTING,-0.05,100,0.01,1,regist,魔法『POISONSTING』抵抗力が0.1あがる,Magic 『POISONSTING』Resistance increases by 0.1,魔法『中毒』抵抗增加0.1,"Magia 『PICADILLA VENENOSA』La resistencia aumenta en 0,1","La résistance magique à l'『EMPOISONNEMENT』 augmente de 0,1","Magie 『GIFTUNG』 Widerstand erhöht sich um 0,1","A resistência mágica 『ENVENENAMENTO』aumenta em 0,1",마법『POISONSTING』 저항력이 0.1 올라간다,"Магия 『POISONSTING』Сопротивление увеличивается на 0,1"
RegistSWORDSLASH,🗡️,RegistSWORDSLASH,-0.05,100,0.01,1,regist,魔法『SWORDSLASH』抵抗力が0.1あがる,Magic 『SWORDSLASH』Resistance increases by 0.1,魔法『剑刃』抵抗力增加0.1,"Magia 『SWORDSLASH』La resistencia aumenta en 0,1","La résistance magique 『SWORDSLASH』 augmente de 0,1","Magie 『SCHWERTHIEGEL』 Widerstand erhöht sich um 0,1","A resistência mágica 『SWORDSLASH』aumenta em 0,1",마법『SWORDSLASH』 저항력이 0.1 올라간다,"Магия 『SWORDSLASH』Сопротивление увеличивается на 0,1"
RegistGREATAxe,🪓,RegistGREATAxe,-0.05,100,0.01,1,town_green_magicstatus,魔法『GREATAxe』抵抗力が0.1あがる,Magic 『GREATAxe』Resistance increases by 0.1,魔法『GREATAxe』抵抗力增加0.1,"La resistencia mágica 『GREATAxe』aumenta en 0,1","La résistance magique de la 『GRANDE Hache』 augmente de 0,1","Magie 『GREATaxe』 Widerstand erhöht sich um 0,1","A resistência mágica do 『GREATAxe』aumenta em 0,1",마법『GREATAxe』 저항력이 0.1 올라간다,"Магия 『GREATAxe』Сопротивление увеличивается на 0,1"
RegistHAMMERCRUSH,🔨,RegistHAMMERCRUSH,-0.05,100,0.01,1,regist,魔法『HAMMERCRUSH』抵抗力が0.1あがる,Magic 『HAMMERCRUSH』Resistance increases by 0.1,魔法『HAMMERCRUSH』抵抗力增加0.1,"Magia 『MARTILLO APLASTADO』La resistencia aumenta en 0,1","La résistance magique 『HAMMERCRUSH』 augmente de 0,1","Magie 『HAMMERCRUSH』Der Widerstand erhöht sich um 0,1","A resistência mágica 『HAMMERCRUSH』aumenta em 0,1",마법『HAMMERCRUSH』 저항력이 0.1 올라간다,"Магия «HAMMERCRUSH»: сопротивление увеличивается на 0,1."
RegistTRIDENTTHRUST,🔱,RegistTRIDENTTHRUST,-0.05,100,0.01,1,regist,魔法『TRIDENTTHRUST』抵抗力が0.1あがる,Magic 『TRIDENTTHRUST』Resistance increases by 0.1,魔法『三叉戟刺』抵抗力增加0.1,"Magia 『TRIIDENTTHRUST』La resistencia aumenta en 0,1","La résistance à la magie 『TRIDENTTHRUST』 augmente de 0,1","Magie 『TRIDENTTHRUST』Der Widerstand erhöht sich um 0,1","A resistência mágica 『TRIDENTTHRUST』aumenta em 0,1",마법『TRIDENTTHRUST』 저항력이 0.1 올라간다,"Магия «TRIDENTTHRUST»: сопротивление увеличивается на 0,1."
RegistSHIELDBASH,🛡️,RegistSHIELDBASH,-0.05,100,0.01,1,regist,魔法『SHIELDBASH』抵抗力が0.1あがる,Magic 『SHIELDBASH』Resistance increases by 0.1,魔法『SHIELDBASH』抵抗力增加0.1,"Magia 『GOLPEE ESCUDO』La resistencia aumenta en 0,1","La résistance magique 『SHIELDBASH』 augmente de 0,1","Magie 『SHIELDBASH』: Widerstand erhöht sich um 0,1","A resistência mágica 『SHIELDASH』aumenta em 0,1",마법『SHIELDBASH』 저항력이 0.1 올라간다,"Магия 『ЩИТОВЫЙ УДАР』Сопротивление увеличивается на 0,1"
FIREBALL,🔥,MagicName,FIREBALL,100,0.01,1,magic,魔法『FIREBALL』を習得する,"Learn the magic ""FIREBALL""",学习魔法“火球”,"Aprende la magia de la ""BOLA DE FUEGO""",Apprenez la magie « BOULE DE FEU »,Lerne den magischen „FEUERBALL“,"Aprenda a mágica ""FIREBALL""",마법 「FIREBALL」을 습득한다,Изучите магию «ОГНЕННОГО ШАРА»
ICE,❄️,MagicName,ICE,1000,0.01,1,town_green_magicstatus,魔法『ICE』を習得する,"Learn the magic ""ICE""",学习魔法“ICE”,"Aprende la magia del ""ICE""",Apprenez la magie « ICE »,Lerne die Magie „ICE“,"Aprenda a mágica ""ICE""",마법『ICE』를 습득한다,Изучите магию «ICE»
LIGHTNING,⚡,MagicName,LIGHTNING,1000,0.01,1,town_green_magicstatus,魔法『LIGHTNING』を習得する,"Learn the magic ""LIGHTNING""",学习魔法“闪电”,"Aprende la magia del ""RELÁMPAGO""",Apprenez la magie « LIGHTNING »,Lerne die Magie „BLITZ“,"Aprenda a mágica ""RELÂMPAGO""",마법 「LIGHTNING」을 습득한다,Изучите магию «МОЛНИИ»
TORNADO,🌪️,MagicName,TORNADO,1000,0.01,1,town_green_magicstatus,魔法『TORNADO』を習得する,"Learn the magic ""TORNADO""",学习魔术“龙卷风”,"Aprende la magia del ""TORNADO""",Apprenez la magie « TORNADE »,Lerne den Zauber „TORNADO“,"Aprenda a mágica ""TORNADO""",마법『TORNADO』를 습득한다,Изучите магию «ТОРНАДО»
METEOR,☄️,MagicName,METEOR,1000,0.01,1,magic,魔法『METEOR』を習得する,"Learn the magic ""METEOR""",学习魔法“流星”,"Aprende la magia de ""METEOR""",Apprenez la magie « METEOR »,Lerne die Magie „METEOR“,"Aprenda a mágica ""METEOR""",마법 「METEOR」를 습득한다,Изучите магию «МЕТЕОРА»
EXPLOSION,💥,MagicName,EXPLOSION,1000,0.01,1,magic,魔法『EXPLOSION』を習得する,"Learn the magic ""EXPLOSION""",学习魔法“爆炸”,"Aprende la magia de la ""EXPLOSIÓN""",Apprenez la magie « EXPLOSION »,Lerne die Magie „EXPLOSION“,"Aprenda a mágica ""EXPLOSÃO""",마법『EXPLOSION』을 습득한다,Изучите магию «ВЗРЫВА»
GUST,💨,MagicName,GUST,1000,0.01,1,magic,魔法『GUST』を習得する,"Learn the magic ""GUST""",学习魔法“GUST”,"Aprende la magia de ""GUST""",Apprenez la magie « GUST »,Lerne die Magie „GUST“,"Aprenda a mágica ""GUST""",마법『GUST』를 습득한다,Изучите магию «GUST»
BUBBLE,🫧,MagicName,BUBBLE,1000,0.01,1,magic,魔法『BUBBLE』を習得する,"Learn the magic ""BUBBLE""",学习魔法“泡泡”,"Aprende la magia de la ""BURBUJA""",Apprenez la magie de la « BULLE »,Lerne die magische „BUBBLE“,"Aprenda a mágica ""BOLHA""",마법『BUBBLE』을 습득한다,Изучите волшебство «BUBBLE»
RAINBOW,🌈,MagicName,RAINBOW,1000,0.01,1,magic,魔法『RAINBOW』を習得する,"Learn the magic ""RAINBOW""",学习魔法“彩虹”,"Aprende la magia del ""ARCOÍRIS""",Apprenez la magie « RAINBOW »,Lerne den magischen „REGENBOGEN“,"Aprenda a mágica do ""ARCO-ÍRIS""",마법 「RAINBOW」를 습득한다,Изучите волшебство «РАДУГИ»
WEB,🕸️,MagicName,WEB,1000,0.01,1,magic,魔法『WEB』を習得する,"Learn the magic ""WEB""",学习神奇的“WEB”,"Aprende la magia de la ""WEB""",Apprenez la magie du « WEB »,"Lernen Sie das magische ""WEB""","Aprenda a mágica ""WEB""",마법 「WEB」를 습득한다,Изучите волшебную «паутину»
POISONSTING,🦂,MagicName,POISONSTING,1000,0.01,1,magic,魔法『POISONSTING』を習得する,"Learn the magic ""POISONSTING""",学习魔法“下毒”,"Aprende la magia del ""ENVENENAMIENTO""",Apprenez la magie de « l'EMPOISONNEMENT »,Lerne die Magie „VERGIFTUNG“,"Aprenda a mágica ""ENVENENAMENTO""",마법 「POISONSTING」을 습득한다,Изучите магию «ОТРАВЛЕНИЯ»
SWORDSLASH,🗡️,MagicName,SWORDSLASH,1000,0.01,1,magic,魔法『SWORDSLASH』を習得する,"Learn the magic ""SWORDSLASH""",学习魔法“SWORDSLASH”,"Aprende la magia ""SWORDSLASH""",Apprenez la magie du « SWORDSLASH »,Erlernen Sie den magischen „SCHWERTSTRAHL“,"Aprenda a mágica ""SWORDSLASH""",마법 「SWORDSLASH」를 습득한다,Изучите магию «Удар меча»
GREATAxe,🪓,MagicName,GREATAxe,1000,0.01,1,magic,魔法『GREATAxe』を習得する,"Learn the magic ""GREATAxe""",学习魔法“GREATAxe”,"Aprende la magia del ""GREATAxe""",Apprenez la magie « GREATAxe »,Lerne die Magie „GREATaxe“,"Aprenda a mágica ""GREATAxe""",마법 「GREATAxe」를 습득한다,Изучите магию «GREATAxe»
HAMMERCRUSH,🔨,MagicName,HAMMERCRUSH,1000,0.01,1,magic,魔法『HAMMERCRUSH』を習得する,"Learn the spell ""HAMMERCRUSH""",学习咒语“HAMMERCRUSH”,"Aprende el hechizo ""HAMMERCRUSH""",Apprenez le sort « HAMMERCRUSH »,Lerne den Zauberspruch „HAMMERCRUSH“,"Aprenda o feitiço ""HAMMERCRUSH""",마법 「HAMMERCRUSH」를 습득한다,Выучите заклинание «HAMMERCRUSH»
TRIDENTTHRUST,🔱,MagicName,TRIDENTTHRUST,1000,0.01,1,magic,魔法『TRIDENTTHRUST』を習得する,"Learn the magic ""TRIDENTTHRUST""",学习魔法“三叉戟刺”,"Aprende la magia del ""TRIDENTTHRUST""",Apprenez la magie « TRIDENTTHRUST »,Lernen Sie den magischen „TRIDENTTHRUST“,"Aprenda a mágica ""TRIDENTTHRUST""",마법 「TRIDENTTHRUST」를 습득한다,Изучите магию «TRIDENTTHRUST»
SHIELDBASH,🛡️,MagicName,SHIELDBASH,1000,0.01,1,magic,魔法『SHIELDBASH』を習得する,"Learn the magic ""SHIELDBASH""",学习魔法“SHIELDBASH”,"Aprende la magia ""GOLPEA ESCUDOS""",Apprenez la magie « SHIELDBASH »,Erlernen Sie die Magie „SHIELDBASH“,"Aprenda a mágica ""SHIELDBASH""",마법 「SHIELDBASH」를 습득한다,Изучите магию «ЩИТОВЫЙ УДАР»
shoplevel1,🏪,shoplevel,2,100,0,1,shop,ショップのLvが2になる,Shop level reaches 2,店铺等级达到2级,El nivel de la tienda llega a 2,Le niveau de la boutique atteint 2,Shop-Level erreicht 2,O nível da loja chega a 2,숍의 Lv가 2가 된다,Уровень магазина достигает 2
shoplevel2,🏪,shoplevel,3,100,0,1,shop,ショップのLvが3になる,Shop level reaches 3,店铺等级达到3级,El nivel de la tienda llega al 3,Le niveau de la boutique atteint 3,Shop-Level erreicht 3,O nível da loja chega a 3,숍의 Lv가 3이 된다,Уровень магазина достигает 3
shoplevel3,🏪,shoplevel,4,100,0,1,shop,ショップのLvが4になる,Shop level reaches 4,店铺等级达到4级,El nivel de la tienda llega al 4,Le niveau de la boutique atteint 4,Shop-Level erreicht 4,O nível da loja chega a 4,숍의 Lv가 4가 된다,Уровень магазина достигает 4
DISCOUNT,💲,shopcost,5,0,0.01,1,shop,ショップ価格が5減少する,Shop prices decrease by 5,商店价格降低5,Los precios en tiendas disminuyen un 5%,Les prix en magasin baissent de 5,Die Ladenpreise sinken um 5,Os preços das lojas diminuem em 5,숍 가격이 5 감소,Цены в магазине снижены на 5
INN,🛏,hp,-9999,30,0,1,inn,宿屋,inn,客栈,posada,auberge,Gasthof,Pousada,여관,гостиница
TEMP,🏕️,hp,-9999,0,0,1,tent,テントで寝る,Sleeping in a tent,睡在帐篷里,Dormir en una tienda de campaña,Dormir sous une tente,Schlafen im Zelt,Dormindo em uma barraca,텐트에서 자다,Сон в палатке
difficulty,⚔️,difficulty,-60,1000,0,1,status,ゲーム難易度⚔️を60さげる,Lower the game difficulty ⚔️ by 60,将游戏难度⚔️降低 60,Reduce la dificultad del juego ⚔️ en 60,Réduisez la difficulté du jeu ⚔️ de 60,Verringern Sie den Schwierigkeitsgrad des Spiels ⚔️ um 60,Reduza a dificuldade do jogo ⚔️ em 60,게임난이도⚔️ 60화,Уменьшите сложность игры ⚔️ на 60
